name,street_address,google_map,review_count,phone,website,restaurant_type,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,description,restaurant_main_type,latitude,longitude,postal_code
Rouge Tomate Chelsea,"126 W 18th St New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7402200%2C-73.996266,190,(646) 395-3978,http://rougetomatechelsea.com/,Contemporary American,4.519,4.4,4.4,4.4,3.9,$31 to $50,2,3,9,23,63,"Michelin-starred Rouge Tomate Chelsea offers a seasonal and sustainable SPE Certified® menu that utilizes local purveyors and sustainable ingredients. SPE is based on a genuine respect for ingredients and the crafting of balanced dishes that marries thoughtful cuisine with authentic nutrition. To complement our menus, we feature seasonal cocktails and natural and organic wines from our beverage team . Rouge Tomate Chelsea is a proud member of the Green Restaurant Association (www.dinegreen.com) and has received Slow Food NYC's Snail of Approval.",Contemporary American,40.7402203,-73.9962661,10011
Socarrat Paella Bar - Chelsea,"259 W 19th St. New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7427570%2C-73.999476,1151,(212) 462-1000,http://www.socarratnyc.com/,Spanish,4.61151,4.5,4.5,4.3,4.1,$31 to $50,1,1,6,23,69,"Socarrat Paella Bars ambiance denotes feelings of warmth, comfort and hospitality. A neighborhood staple with a small, intimate space comprised primarily of one large communal table with bar and smaller communal tables available.**Please note that all of our tables at the Chelsea location are high tops and most of them are communal tables and our chairs are without backs.**Socarrat, the quintessence of the perfect paella and for which the restaurant is named, is the delectable, sensuous crust that forms on thebottom of the paella pan when the liquid is rendered and the rice reaches its peak of succulence. The menu, an authentic array of delicious dishes from the regions of Spain specializing in traditional tapas with an accenton paella and fideua (which substitutes fried noodles for rice) that can be characterized as a true exploration for the palette.Socarrat also offers two dozen tapas, wines by the glass, Spanish desserts, and the bes",Spanish,40.7427139,-73.999508,10011
Bann Restaurant,"350 West 50th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7629670%2C-73.987845,1249,(212) 582-4446,http://bannrestaurant.com/,Korean,4.61249,4.5,4.5,4.3,4.3,$31 to $50,0,3,4,23,70,"From the same team that brought you Woo Lae Oak in Soho & Los Angeles, Bann is a unique, interactive dining experience featuring authentic Korean cuisine with a modern flair. Unleash your inner chef at Bann and add an element of sizzle to your next evening out! Choose from a variety of authentic Korean barbecues prepared in our signature marinade, including beef short rib and thinly sliced rib eye, all cooked to perfection at your own smokeless tabletop grill. Or dine on traditional favorites like the black cod simmered in a spicy garlic soy reduction. For the adventurous diner, Bann creates a sharing & tasting experience to take you and your companions on a culinary tour of Korea.",Japanese & Koren,40.7629136,-73.9881449,10019
Socarrat Paella Bar - Midtown East,"953 Second Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7552520%2C-73.968451,572,(212) 759-0101,http://www.socarratnyc.com/,Spanish,4.5572,4.4,4.4,4.3,4.1,$31 to $50,1,2,8,30,59,Outdoor seating is open!!! Come and have dinner at our balcony!,Spanish,40.7553091,-73.9685283,10022
High Street on Hudson,"637 hudson st New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7388420%2C-74.005791,368,(917) 388-3944,http://www.highstreetonhudson.com/,Contemporary American,4.5368,4.3,4.2,4.3,3.9,$31 to $50,0,5,8,22,65,"High Street On Hudson also serves morning through evening with a working on-site bread bakery and an exciting expanded dinner program by Chef Sean McPaul. The restaurant received two stars from the NY Times, was named Food & Wine's 2016 Best New Restaurant, and made Michelin's 2017 and 2018 Bib Gourmand list. ",Contemporary American,40.7388972,-74.0057401,10014
Hanjan,"36 West 26th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7441790%2C-73.990668,259,(212) 206-7226,http://www.hanjan26.com/,Korean,4.6259,4.5,4.3,4.3,3.9,$31 to $50,1,1,6,22,70,"HANJAN is Chef Hooni Kim’s second restaurant after DANJI , located in the Flatiron District in New York. It was inspired by the joomak, an old Korean tavern that offered weary travellers good food, good drinks and a place to rest. Many of the dishes at HANJAN are meant to evoke Korean street markets that offer comfort food enjoyed by people in Korea in their everyday life.At Hanjan and Danji we choose to use meat raised with no antibiotics or growth hormones. Our fish are caught wild and are not overfished and endangered. We try to use as much organic and local produce as possible. No doubt these ingredients cost more but we believe the food we consume should be healthy and responsible as well as delicious.",Japanese & Koren,40.7442413,-73.9906129,10010
Le Colonial NYC,"149 E. 57th St New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7610000%2C-73.969,1860,(212) 752-0808,http://www.lecolonialnyc.com/,Vietnamese,4.4186,4.2,4.3,4.3,3.8,$31 to $50,2,4,8,27,59,"Le Colonial NYC is a truly delightful culinary experience. Like stepping into French Colonial Southeast Asia, this two-story restaurant, designed by Greg Jordan, consists of a main dining room with louvered wall panels, colorful tile floors, and vintage photos of Vietnam. Upstairs is an elegant, but lively, lounge serving a full dinner or just appetizers and cocktails. The lounge serves as an ideal setting for private parties and business dinners. Le Colonial NYC serves an authentic Vietnamese menu with an emphasis on fresh seafood, meats, and vegetables. .For a groups of 5 or more, Le Colonial reserves the right to charge $25 per cover for no show reservations. ",Southeast Asian,40.7608569,-73.9683494,10022
Delmonico's Kitchen,"207 West 36th Street New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7524190%2C-73.989978,1203,(212) 695-5220,http://www.delmonicoskitchen.com/,American,4.41203,4.3,4.3,4.1,3.8,$31 to $50,2,4,8,27,59,"Delmonico’s, the country’s first fine dining restaurant, has expanded its premier location at 56 Beaver Street to Midtown Manhattan.  But be warned, this is not your father's Delmonico's! Prepare to be dazzled with its chic,modern interior and casual vibe. Just steps from Madison Square Garden, Macy's, and Broadway theater this contemporary spinoff boasts a sleek marble bar, deep red leather banquettes, and candlelight tables.Perfect for lunch, a drink after work, or dinner before the big game.Delmonico's Kitchen brings a globally inspired, seasonal approach to dining using organic and local ingredients to create savory twists to some of the original legendary dishes such as Delmonico Steak, Eggs Benedict, and Baked Alaska. Separating itself from other traditional steakhouses with its innovative dishes and updates on the classics, the new Delmonico's Kitchen will surely entice guests to come back for more.",American,40.7526176,-73.9901605,10018
Morton's The Steakhouse - Midtown Manhattan,"551 5th Ave (entrance on 45th St.) New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7555820%2C-73.979297,3031,(212) 972-3315,http://www.mortons.com/,Steakhouse,4.63031,4.7,4.6,4.5,4.2,$50 and over,2,1,5,18,74,"Thank you for choosing Morton's The Steakhouse - New York (Midtown Manhattan). We look forward to serving you. USDA prime-aged beef, succulent seafood, fine wines, chilled cocktails, decadent desserts, crisp white linens and exceptional service...Morton's serves The Best Steak Anywhere. For more than 30 years, Morton's is the steakhouse by which all others are measured. For special events, private dining Boardroom information, worldwide location listing, gift cards and online reservations, visit www.mortons.com. To ensure we can accommodate any special requests, please call the restaurant directly to confirm.",Steakhouse,40.7553825,-73.9788937,10017
Ted's Montana Grill - NYC,"110 West 51st Street Time Life Bldg. New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7611920%2C-73.981581,938,(212) 245-5220,http://tedsmontanagrill.com/,American,4.3938,4.2,4.2,4.1,4,$31 to $50,3,2,7,37,51,"You are warmly invited to Ted’s Montana Grill for an afternoon or evening of Authentic American Dining. Inspired by the pioneer spirit of the American West, a time when simplicity, pride and respect were the most important ingredients, Ted’s Montana Grill proves that honest food served with genuine hospitality is timeless. Known for its modern interpretation of hand-prepared, 100% fresh classic comfort food, the chef-inspired menu features the finest cuts and best selection of bison in New York City, including high-quality, flavorful steaks and award-winning burgers amongst a variety of other unique menu items such as crab cakes, daily fresh catches and unique desserts. The extensive wine list presents elegant varietals that pair with the bold menu including our exclusively blended private label wine, Bison Ridge. The kind of place that’s familiar and inviting, Ted’s is the real deal for those craving true Authentic American Dining in a casual, upscale setting.  ",American,40.7606647,-73.9814419,10020
Trattoria Italienne,"19 West 24th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7436870%2C-73.99224,96,(212) 600-5139,http://italiennenyc.com/,Italian,4.796,4.7,4.7,4.7,4.4,$30 and under,0,1,3,15,81,"From Chef Jared Sippel, Trattoria Italienne offers classic dishes from Northern Italy and Southern France paired with a regionally inspired wine and cocktail list. Trattoria Italienne’s approachable menu and welcoming atmosphere makes it a great destination for large parties and celebrations.",Italian,40.7430619,-73.9903948,10010
Felice 64 Wine Bar,"1166 1st avenue New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7625140%2C-73.959484,114,(212) 593-2223,http://www.felice64.com/,Italian,4.7114,4.6,4.6,4.6,4.4,$31 to $50,0,1,1,24,74,"This cozy NYC restaurant showcases a relaxed ambiance, with subdued lighting, exposed brick walls lined with linear shelves filled with wine, as well as rich, tufted leather seats. Italian wines and flavors from Tuscany are now served in a modern space, infused with traditional elements, on Manhattan's Upper East Side. Felice features classic Italian dishes from the menu of its sister restaurant, Sant Ambroeus, as well as tasting items and small plates.",Italian,40.7625672,-73.9595639,10065
Shun Lee Palace,"155 East 55th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7594570%2C-73.969509,1308,(212) 371-8844,http://shunleepalace.com/,Chinese,4.31308,4.2,4.2,4,3.7,$31 to $50,3,4,13,18,62,"Michael Tong's Midtown ""institution"" combines ""striking"" surroundings, ""silky service"" and ""absolutely the best above Canal Street"" decorated by Adam Tihany.",Chinese,40.759428,-73.9690678,10022
Aretsky's Patroon,"160 East 46th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7536220%2C-73.973695,908,(212) 883-7373,http://www.aretskyspatroon.com/,American,4.7908,4.7,4.7,4.6,4.2,$31 to $50,1,1,2,17,79,"Welcome to Aretsky's Patroon, a classic New York City restaurant, owned by legendary restaurateur Ken Aretsky. Aretsky's Patroon offers superb contemporary American cuisine, warm, polished service and beautiful rooms suitable for a wide range of events. Whether you visit us for drinks and a light bite on our rooftop bar, a power lunch in our festive main dining room, or a discreet business dinner in one of our many private event spaces, we know that you will have a superb experience.",American,40.7533599,-73.9732416,10017
Frankie and Johnnie's Steakhouse - 46th Street,"320 West 46th New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7599750%2C-73.988913,550,(212) 997-9494,http://www.frankieandjohnnies.com/,Steakhouse,4.355,4.3,4.4,4.2,3.9,$31 to $50,1,5,12,25,57,"In the heart of the Theater District between 8th and 9th Ave on 46th Street, the restaurant is a celebrated Broadway fixture. A New York institution, Frankie & Johnnie's Steakhouse is the longest running show on Broadway (as well as one of the city's oldest continuously run dining establishments), having opened as a speakeasy in 1926.",Steakhouse,40.7599678,-73.9889027,10036
Davio's Northern Italian Steakhouse - Manhattan,"447 Lexington Ave. New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7529770%2C-73.974498,736,(212) 661-4810,http://www.davios.com/,Steakhouse,4.6736,4.5,4.5,4.4,4.1,$31 to $50,0,1,6,24,69,"THE IDEA & HISTORYIn 1985, at the young and ambitious age of 24, Steve DiFillippo purchased a locally-owned family restaurant called Davio’s on Newbury Street in Boston’s trendy Back Bay. As Boston’s culinary tastes evolved, he transformed the location into a destination. He retooled the menu, the space, the wine list. The new Davio’s soon garnered rave reviews.The idea behind Davio’s Northern Italian Steakhouse was simple, regional Italian foods with a focus on the grill.Everything made by hand from the best ingredients. Serve everything from aged steaks to simple-yet-unique pasta creations. Mirror this philosophy in the kitchen with our expert and attentive staff in the dining room, seeing to your every need and taking pride in your enjoyment of the meal. Davio's has since opened locations in Philadelphia, Foxborough, MA, Atlanta, Chestnut Hill, MA, Lynnfield, MA and Manhattan.",Steakhouse,40.7530076,-73.9746387,10017
Massoni,"11 E 31st St New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7463600%2C-73.984946,191,(212) 951-1141,http://www.massoninyc.com/,Italian,4.4191,4.3,4,4.3,4.1,$31 to $50,2,6,7,22,63,"Chef Dale Talde and his partners, David Massoni and John Bush, all of Three Kings Restaurant Group, opening three unique concepts inside the Arlo Nomad Hotel: Massoni, a full-service restaurant that serves “Inauthentic Italian” fare; BARlo, the 2nd floor bar and adjoining terrace; and The Heights, a seasonal rooftop bar and patio.At Massoni, diners have the option of breakfast, lunch or dinner, and are able to sample Chef Dale Talde’s “Inauthentic Italian” cuisine, featuring classic Italian dishes with multi-cultural flavors and ingredients. Think Arancini Balls but with biyrani-style rice, served with cool ranch raita and spicy tomato. At BARlo, located on the 2nd floor, the full Massoni dinner menu is available, including the cocktails, as well as an additional classic cocktail list, focusing on the cocktails that are standards in the bars of New York City.",Italian,40.7463171,-73.9849083,10016
.Tarallucci e Vino Upper West Side,"475 Columbus Ave New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7842980%2C-73.973346,50,(212) 362-5454,http://www.taralluccievino.net/upper-west-side-location/,Italian,4.55,4.3,4.4,4.3,4,$31 to $50,0,5,4,30,61,"""All ends well with Tarallucci E Vino"" is the famous Italian saying rooted in the tradition of resolving any matter over a glass of wine and tarallucci, the classic southern Italian cookie.Tarallucci e Vino Upper West Side is a neighborhood favorite. Our housemade pastries, fresh pastas and expertly crafted coffee uphold our standard of high quality ingredients and authenticity. Tarallucci e Vino Upper West Side is a cozy spot for a quick breakfast, elegant lunches, relaxed dinners or lazy weekend brunches. Open for breakfast, lunch, brunch and dinner.",Italian,40.7843419,-73.9734658,10024
Clement,"700 Fifth Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618300%2C-73.975402,506,(212) 903-3918,http://www.peninsula.com/clement,American,4.7506,4.6,4.7,4.7,4.1,$31 to $50,1,3,2,16,78,"Clement seamlessly blends an elegantly modern aesthetic with American cuisine. Located in the Forbes Five Star-rated Peninsula New York hotel, Clement overlooks bustling Fifth Avenue. Designed by the international award-winning design firm, Yabu Pushelberg, the restaurant feels like a quintessential New York home, with different rooms that cater to a range of moods, desires and occasions.  Private and semi-private dining areas are available.Adjacent to Clement, The Bar offers a bewitching menu of suggested and made-to-order cocktails, a selection of wines and champagnes available by the glass, and small plates echoing the Clement menu with a touch of an Asian influence as a nod to the hotel company’s heritage. ",American,40.7617014,-73.9754271,10019
MIFUNE New York,":​ 245 E, 44th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7516370%2C-73.97176,55,(212) 986-2800,http://mifune-restaurant.com/,Japanese,4.455,4.5,4.4,4.4,4.1,$31 to $50,2,2,8,26,62,"WASHOKU CUISINE / MIFUNE New York takes traditional Japanese cooking that places supreme importance on the seasonalbounty of the land and sea—and reimagines it using French technique to create innovative, artisticallycomposed dishes.",Japanese & Koren,40.7516375,-73.9717605,10017
Sutton Inn,"347 East 54th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7568060%2C-73.96475,685,(646) 370-3045,http://www.suttoninnrestaurant.com/,American,4.6685,4.7,4.6,4.4,4.4,$30 and under,1,1,4,25,69,"The Sutton Inn is an intimate neighborhood restaurant featuring seasonal and local produce. The unique and healthy American menu is simple, yet sophisticated. Sutton Inn is a no tipping restaurant-- menu prices include all service charges.",American,40.756816,-73.9647401,10022
The House in Gramercy Park,"121 East 17th St New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7361320%2C-73.987743,1193,(212) 353-2121,http://www.thehousenyc.com/,American,4.51193,4.4,4.5,4.5,4,$31 to $50,2,1,8,22,67,The House is a magnificently restored 1854 carriage house located in the historic Gramercy Park. The three floor layout allows us to accommodate from your most intimate gatherings to large party events. ,American,40.7361326,-73.9877434,10003
Cleo At MONDRIAN PARK AVENUE,"444​ ​Park​ ​Avenue​ ​South New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7450670%2C-73.983364,68,(646) 948-2370,http://www.morganshotelgroup.com/mondrian/mondrian-park-avenue/eat-drink/cleo,Mediterranean,4.568,4.6,4.2,4.4,4.1,$31 to $50,0,3,7,23,67,"Located in the illustrious Mondrian Park Avenue hotel, Chef Danny Elmaleh draws from diverse cultures to create richly textured shareable plates, which encourage a warm, social dining experience in Cleo Mediterraneo.  Classic & modern cocktails highlight fresh ingredients, along with local craft beers, bottle service, and an international selection of wine and champagne. Serving breakfast, lunch and dinner daily.",Mediterranean,40.7448378,-73.9833243,10016
Naoki Takahashi,"311 W 17th Street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7420080%2C-74.001558,92,(646) 861-0086,http://www.naoki-takahashi-ny.com/,Japanese,4.692,4.6,4.6,4.7,4.3,$31 to $50,0,3,7,16,74,"Tucked away in a hidden space in Chelsea, Naoki Takahashi serves seasonal multi-course Japanese cuisines in a Zen-like interior.  A La carte options are also available Sunday through Thursday from 9pm to close.  Reservations for both course menu and a la Carte are being accepted.",Japanese & Koren,40.7420112,-74.0015624,10011
Junoon Main Dining Room,"27 West 24th St. New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7431930%2C-73.990838,2027,(212) 490-2100,http://www.junoonnyc.com/,Indian,4.52027,4.5,4.4,4.5,3.8,$50 and over,2,2,11,19,66,"Junoon Main Dining room serves only 3 course  menu starting at $75 person  or  6 course tasting menu for $115. per person.Table with children under 14 years old and ala carte menu will be served in Patiala Room only based on availibilty.Derived from the Hindi word meaning passion, Junoon delivers on the promise of its moniker with an authentic, yet elegantly modern take on Indian cuisine. Restaurateur Rajesh Bhardwaj, inspired by his deep affinity and commitment to the food and culture of his native India, has assembled a talented team, who share his same vision.Don't forget to peak into Junnon's one-of-a-kind Spice Room where an array of fresh spices are ground daily and made into a unique blend to be used in the marinades and sauces for the day.",Indian,40.7431592,-73.990808,10010
Brasserie Cognac,"1740 Broadway New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7650990%2C-73.982064,1476,(212) 757-3600,http://www.cognacrestaurant.com/,French,4.11476,4.1,3.9,4,3.8,$31 to $50,3,6,13,34,44,"Restaurateurs Vittorio Assaf and Fabio Granato brought their love for French culture and cuisine to New York City by giving the Big Apple an authentic slice of France when they opened Brasserie Cognac de Monsieur Ballon in April 2008. Located in the theater district and frequented by celebrities, businessmen, locals and tourists, the setting is both exciting and charming. The Brasserie style menu offers French classics . Guests can choose to dine in the outdoor sidewalk café, casual original French bakery, classic main dining room, lively bar/lounge or the private Cognac Room as they enjoy meals complimented by 102 varieties of cognac and a gorgeous wine list including first-growth Bordeaux sold by the glass.",French,40.7651088,-73.9814878,10019
Scampi,"30 W 18th St New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7390420%2C-73.993493,12,(212) 888-2171,http://www.scampinyc.com/,Italian,4.612,4.6,4.5,4.4,4.1,$30 and under,1,1,9,15,74,"Scampi is a neighborhood, Southern Italian inspired restaurant in the heart of Manhattan's Flatiron district. We use the best ingredients and provide a great atmosphere. 

Looking forward to hosting you soon!",Italian,40.7390428,-73.9934938,10011
Society Cafe,"52 W 13th Street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7363170%2C-73.996523,132,(212) 300-4525,http://societycafenyc.com/,American,4.4132,4.2,4.2,4.4,4,$31 to $50,1,4,12,24,59,"Hidden inside the charming Walker Hotel Greenwich Village, Society Cafe is a new market-to-table American restaurant by rising-star chef, Christopher Zabita.   Chef Zabita's training in award-winning restaurants such as Victoria and Alberts, Bar Boulud and Marc Forgione has prepared him for his new passion project at Society Cafe as he takes the helm of the kitchen as Executive Chef.   Relying on the purveyors at the nearby Union Square Farmers Market where he personally shops 4-days per week, Chef Zabita has created an evolving, seasonal menu that is sustainable and locally sourced.  The beautiful new dining room features accents of walnut, leather and teal for a modern yet sophisticated surrounding.  Guests bask in natural light over breakfast, lunch and weekend brunch from the stunning skylight above.  As the sun sets, the fireplace adds a soft, warm inviting glow while the downtown crowd comes alive in true New York City fashion.  ",American,40.7361334,-73.9966616,10011
Suzuki,"114 W 47th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7581400%2C-73.983006,88,(212) 278-0010,http://www.suzukinyc.com/,Japanese,4.588,4.4,4.6,4.4,4.1,$50 and over,2,2,5,23,68,"**Reservations through OpenTable are ONLY for the main dining and NOT for SATSUKI sushi bar**SUZUKI is a modern contemporary environment serving traditional Japanese Kaiseki Course, table dining experience, serving seasonal items from Japan.All courses changes accordingly with the seasons.**Reservations through OpenTable are ONLY for the main dining and NOT for SATSUKI sushi bar**Sushi bar reservations are by appointments only, please contact us at 212.278.0047 or info@suzukinyc.com to arrange seating at Satsuki Sushi Bar.",Japanese & Koren,40.7580887,-73.9831407,10036
Inakaya,"231 West 40th Street New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7556230%2C-73.989558,1087,(212) 354-2195,http://www.inakayany.com/,Japanese,4.51087,4.4,4.2,4.2,3.8,$31 to $50,1,2,8,27,62,"Our original restaurant in Japan was established and opened its first door in the heart of Roppongi, Tokyo in 1970, as the traditional ""Robata-yaki"" restaurant. Since then, Inakaya has been loved by substantial numbers of distinguished personalities, comprising of former President of the United States, Hollywood stars, and other celebrities and the epicureans from around the world for more than 30 years. ""Robata"" is the Japanese term that stands for ""around a sunken hearth"" and ""yaki"" means ""grilling"". Families used to gather around the hearth for dinner, which evolved into ""Robata-yaki"" style. It is known as a type of traditional cuisine, which features fresh ingredients grilled in proximity of guests' own eyes. Foods are cooked on open-flame, its ancient but healthy grilling method of dropping excess oil has attained its popularity, and has spread throughout Japan. And now it comes to New York!Please note this online reservation is for the Robata counter seating. ",Japanese & Koren,40.755623,-73.9895581,10018
Rossini's Restaurant,"108 East 38 Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7492320%2C-73.97872,1132,(212) 683-0135,http://rossinisrestaurant.com/,Italian,4.71132,4.6,4.7,4.5,4.3,$31 to $50,0,1,5,18,76,"Located in the charming neighborhood of Murray Hill, Rossini's has been serving fine Northern Italian Cuisine for 40 years.  The genuine friendliness and warm service makes diners feel right at home in this family owned restaurant.    We specialize in Northern Italian Cuisine but also features dishes throughout the Italian Peninsula.  Our cuisine is based on many long standing family recipes as well as new and innovative Italian presentations.Our menu offers a wide variety of pasta, chicken, veal and fish dishes or our chef will prepare your favorite dish if you don't see it on the menu.The large chairs and roomy interior provides an ambiance that is perfect for the important business lunch or the intimate romantic dinner.",Italian,40.7491301,-73.9788937,10016
Charlie Palmer Steak,"47 West 38th Street New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7519690%2C-73.98484,450,(212) 302-3838,http://www.charliepalmer.com/charlie-palmer-steak-ny/,Steakhouse,4.545,4.4,4.4,4.2,4.1,$31 to $50,1,3,10,19,67,"Charlie Palmer Steak New York at Archer Hotel New York taps into midtown’s vibrant and dynamic energy, serving up bold flavors in big city style. Reflecting celebrated chef Charlie Palmer’s progressive American cooking, the seasonal menus showcase the region’s exceptional resources, primarily from the surrounding Northeast and Mid-Atlantic waterways and farmlands, to represent Manhattan's cultural crossroads and highlight the craft of local distillers, brewers and artisanal winemakers.",Steakhouse,40.7519694,-73.9848404,10018
Bocca,"39 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7383090%2C-73.989553,1561,(212) 387-1200,http://www.boccanyc.com/,Italian,4.41561,4.4,4.4,4.1,4,$30 and under,1,3,10,25,61,"On June 25th, 2007, Alessandro Peluso together with his friends and family, opened the doors of Bocca with a celebration and an evening of food and wine. This Roman restaurant has been bustling with patrons ever since. Our Chef James Corona is excited to offer a roster of creative Roman dishes to New Yorkers. Chef James uses only imported Italian DOP (protected designation of origin) products and is a proud supporter of the Union Square Green Market. Our meals are complimented by an extensive wine list, an elegant and cozy yet casual dining environment, and a friendly and courteous wait staff. ",Italian,40.7382691,-73.9888568,10003
NYY Steak Midtown- New York Yankees Steakhouse,"7 West 51st Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7597200%2C-73.977479,995,(646) 307-7910,http://www.nyysteak.com/,Steakhouse,4.7995,4.6,4.7,4.6,4.2,$31 to $50,0,1,4,21,74,"Located in the heart of Midtown Manhattan the New York Yankees Steakhouse is a destination for baseball fans and gourmands alike. Since opening in November 2013, we have gone beyond the traditional American steakhouse to create a unique dining experience that infuses one of America’s greatest pastimes - baseball - into its decor and menu offerings. Executive Chef John Schafer leads the kitchen best known for its variety of high-quality specialty steaks, including USDA Prime cuts, as well as fresh five-star seafood, satisfying sides and indulgent desserts.Our establishment combines sporty and modern with elevated cuisine that pays homage to traditional Steakhouse fare, and a dining experience that lets you catch sporting events in style.",Steakhouse,40.7597501,-73.9774474,10019
Irvington,"201 Park Ave S New York, NY 10003 New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7365430%2C-73.988749,209,(212) 677-0425,http://www.irvingtonnyc.com/,Contemporary American,4.5209,4.2,4,4.1,3.8,$30 and under,2,2,7,28,61,"Located on the ground floor of W New York – Union Square, Irvington offers a Mediterranean-influenced menu of New American classics highlighting fresh, locally-sourced ingredients from the neighboring Union Square Greenmarket. Irvington's seasonally-driven menu emphasizes locally-sourced ingredients and simple and straightforward presentations, featuring a variety of large format rotisserie-roasted meats and comforting dishes. Irvington features a rotating selection of cocktails, global wine offerings, small-batch spirits, and regionally brewed craft beers. Signature sips include refined twists on classic cocktails, in addition to bottled craft cocktails. Irvington also serves fresh cold-pressed juices and handcrafted coffee from local purveyors Liquiteria and Irving Farm Coffee Roasters.",Contemporary American,40.7366021,-73.9885354,10003
Charlie Palmer at The Knick,"6 Times Square New York, NY 10036 New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7555830%2C-73.98627,315,(212) 204-4983,http://www.charliepalmer.com/charlie-palmer-at-the-knick/,Contemporary American,4.3315,4.1,4.1,4.3,3.6,$31 to $50,2,4,13,26,55,"Boasting enviable corner views overlooking Times Square, Charlie Palmer at The Knick is the hotel’s signature restaurant  with menus created by Chef Palmer exclusively for The Knickerbocker. A gem among Midtown restaurants, Charlie Palmer at the Knick offers market-driven menus for breakfast, lunch and dinner. The restaurant’s adjacent lounge offers a menu of lighter fare, and, in a nod to the hotel’s legacy as the rumored birthplace of the martini, an exceptional cocktail program featuring the signature Knickerbocker Martini and inventive new favorites. ",Contemporary American,40.7555831,-73.9862701,10036
Nick & Stef’s Steakhouse - New York,"9 Penn Plaza New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7510730%2C-73.993289,1931,(212) 563-4444,http://www.patinagroup.com/nick-and-stefs-steakhouse-nyc,Steakhouse,4.41931,4.3,4.4,4.1,3.7,$31 to $50,0,5,8,31,56,"Nick & Stef’s Steakhouse is a restaurant located next to New York's Madison Square Garden & Penn Station, and known as one of the best steakhouses in NYC.",Steakhouse,40.7510597,-73.9932303,10001
Altesi Ristorante,"26 E 64th Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7666620%2C-73.969575,390,(212) 759-8900,http://www.altesinyc.com/,Italian,4.539,4.5,4.5,4.4,4.1,$31 to $50,1,3,8,19,69,"Located at 26 East 64th Street, Altesi Madison is one of the two restaurants of Altesi Group,  serving lunch and dinner (as well as Saturday & Sunday brunch). Our recipes are rooted in Italy’s rich culinary tradition and the freshest seasonal ingredients.  Conveniently located just off Madison Avenue,  Altesi Madison has an outdoor dining space in its enclosed garden.  Altesi Madison is a neighborhood gem for gourmets in search of elegant but authentic Italian food.",Italian,40.7666785,-73.9695801,10065
Giorgio's of Gramercy,"27 East 21st Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7396800%2C-73.989201,2089,(212) 477-0007,http://www.giorgiosofgramercy.com/,Contemporary American,4.72089,4.6,4.7,4.6,4.3,$31 to $50,0,1,5,18,76,"Giorgio's of Gramercy is one of Zagat's top rated restaurants in the Gramercy Park neighborhood.Our eclectic American menu will not disappoint. Our philosophy at Giorgio’s of Gramercy is to serve quality food using only the freshest of ingredients at great value.  We offer menus that are creative, yet simple and earthy.",Contemporary American,40.7397036,-73.9886272,10010
